file;chip;mean_spacing;std_spacing;pos;p1;p2;nlines
150616_S2_00;S2;104.34;;(17.2, 8.5);[(300, 200)];[(300, 1000)];20.0
150616_S2_01;S2;417.36;;(15.2, 8.6);[(350, 200)];[(350, 1000)];20.0
150616_S2_02;S2;208.68;;(13.2, 8.6);[(300, 200)];[(300, 1000)];20.0
150616_S2_03;S2;104.34;;(11.2, 8.7);[(500, 200)];[(500, 1000)];20.0
150616_S2_04;S2;208.68;;(9.2, 8.7);[(300, 200)];[(300, 1000)];20.0
150616_S2_05;S2;83.47;;(7.2, 8.8);[(250, 200)];[(250, 1000)];20.0
150616_S2_06;S2;46.37;;(5.2, 8.9);[(300, 200)];[(300, 1000)];20.0
150616_S3_00;S3;19.64;20.11;(17.1, 8.5);[(250, 200)];[(250, 1000)];20.0
150616_S3_01;S3;34.78;;(15.1, 8.5);[(250, 200)];[(250, 1000)];20.0
150616_S3_02;S3;13.29;12.79;(13.1, 8.5);[(250, 200)];[(250, 1000)];20.0
150616_S3_03;S3;17.58;8.32;(11.1, 8.5);[(250, 200)];[(250, 1000)];20.0
150616_S3_04;S3;17.58;8.32;(11.1, 8.5);[(250, 200)];[(250, 1000)];20.0
150616_S3_05;S3;17.65;12.81;(9.1, 8.5);[(250, 200)];[(250, 1000)];20.0
150616_S3_07;S3;34.78;;(5.1, 8.5);[(250, 200)];[(250, 1000)];20.0
150616_S3_06;S3;46.37;;(7.1, 8.5);[(600, 200)];[(600, 1000)];20.0
150616_S6_00;S6;7.02;7.9;(17.0, 8.0);[(550, 300)];[(550, 1000)];20.0
150616_S6_01;S6;8.77;7.65;(14.8, 7.9);[(250, 400)];[(250, 1000)];20.0
150616_S6_03;S6;11.3;7.77;(10.8, 8.1);[(250, 400)];[(250, 1000)];20.0
150616_S6_04;S6;14.03;8.49;(8.8, 8.1);[(250, 400)];[(250, 1000)];20.0
150616_S6_05;S6;26.63;;(6.8, 8.1);[(250, 400)];[(250, 1000)];20.0
150616_S6_02;S6;7.78;6.59;(12.8, 8.1);[(550, 400)];[(550, 1000)];20.0
150617_S10_00;S10;49.87;;(17.1, 10.5);[(300, 200)];[(300, 1000)];20.0
150617_S10_01;S10;42.74;;(15.1, 10.5);[(300, 200)];[(300, 1000)];20.0
150617_S10_02;S10;33.24;;(13.1, 10.5);[(300, 200)];[(300, 1000)];20.0
150617_S10_03;S10;149.6;;(11.4, 10.5);[(300, 200)];[(300, 1000)];20.0
150617_S10_04;S10;99.73;;(9.4, 10.6);[(300, 200)];[(300, 1000)];20.0
150617_S10_05;S10;99.73;;(7.4, 10.6);[(300, 200)];[(300, 1000)];20.0
150617_S10_06;S10;149.6;;(5.4, 10.6);[(300, 200)];[(300, 1000)];20.0
150617_S10_07;S10;299.2;;(3.4, 10.6);[(300, 200)];[(300, 1000)];20.0
150617_S11_02;S11;270.64;;(13.0, 8.8);[(250, 200)];[(250, 1000)];20.0
150617_S11_03;S11;2.25;3.63;(11.0, 8.8);[(400, 400)];[(400, 1000)];10.0
150617_S11_04;S11;1.27;0.95;(9.0, 7.7);[(350, 200)];[(350, 1000)];20.0
150617_S11_05;S11;1.33;1.1;(7.0, 7.7);[(400, 200)];[(400, 800)];10.0
150617_S11_06;S11;2.21;1.92;(5.0, 7.8);[(400, 200)];[(400, 800)];10.0
150617_S11_07;S11;2.11;1.88;(3.0, 7.6);[(400, 200)];[(400, 800)];10.0
150617_S12_00;S12;2.05;1.96;(16.1, 8.3);[(400, 200)];[(400, 1000)];20.0
150617_S12_01;S12;1.22;0.83;(14.1, 8.3);[(400, 200)];[(400, 1000)];20.0
150617_S12_02;S12;1.76;1.54;(12.1, 8.3);[(400, 200)];[(400, 1000)];20.0
150617_S12_03;S12;2.45;2.49;(10.0, 8.3);[(400, 200)];[(400, 1000)];20.0
150617_S12_04;S12;0.89;0.55;(8.0, 8.4);[(400, 200)];[(400, 1000)];20.0
150617_S12_05;S12;2.39;1.91;(6.0, 8.4);[(400, 200)];[(400, 1000)];20.0
150617_S12_06;S12;1.03;0.82;(4.3, 8.2);[(400, 200)];[(400, 1000)];20.0
150618_S4_00;S4;4.72;3.07;(1.8, 8.6);[(550, 200)];[(550, 1000)];20.0
150618_S4_02;S4;1.45;0.99;(5.8, 8.8);[(350, 200)];[(350, 1000)];20.0
150618_S4_03;S4;1.38;1.1;(7.8, 8.9);[(350, 200)];[(350, 1000)];20.0
150618_S4_04;S4;1.43;1.03;(9.8, 9.1);[(350, 200)];[(350, 1000)];20.0
150618_S4_05;S4;1.43;1.33;(11.8, 9.2);[(350, 200)];[(350, 1000)];20.0
150618_S4_06;S4;2.7;2.6;(13.8, 9.3);[(350, 200)];[(350, 1000)];20.0
150618_S4_07;S4;8.11;9.77;(15.7, 9.4);[(550, 200)];[(550, 1000)];20.0
150618_S7_00;S7;1.36;1.13;(4.2, 8.3);[(350, 200)];[(350, 1000)];20.0
150618_S7_01;S7;2.09;2.36;(6.2, 8.2);[(350, 200)];[(350, 1000)];20.0
150618_S7_02;S7;2.72;3.49;(8.2, 8.2);[(350, 200)];[(350, 1000)];20.0
150618_S7_03;S7;1.15;1.03;(10.2, 8.2);[(350, 200)];[(350, 1000)];20.0
150618_S7_04;S7;1.15;1.03;(10.2, 8.2);[(350, 200)];[(350, 1000)];20.0
150618_S7_05;S7;2.43;2.32;(12.2, 8.1);[(350, 200)];[(350, 1000)];20.0
150618_S7_06;S7;0.6;0.44;(14.2, 8.1);[(350, 200)];[(350, 1000)];20.0
150618_S7_07;S7;2.3;2.3;(16.2, 8.1);[(350, 200)];[(350, 1000)];20.0
150618_S7_08;S7;1.86;1.84;(16.2, 8.1);[(350, 200)];[(350, 1000)];20.0
150618_S8_03;S8;0.84;0.54;(12.2, 8.3);[(350, 200)];[(350, 1000)];20
150618_S8_04;S8;0.76;0.47;(9.1, 8.4);[(350, 200)];[(350, 1000)];20
150618_S8_05;S8;1.05;0.90;(7.1, 8.4);[(350, 200)];[(350, 1000)];20
150618_S8_06;S8;1.20;0.79;(5.1, 8.5);[(350, 200)];[(350, 1000)];20
150618_S8_07;S8;1.56;1.34;(3.1, 8.5);[(350, 200)];[(350, 1000)];20
